ID	Cited Article	normalized_id	s2_paperId	year	publicationVenue	journal	citationCount	_error
5764	https://doi.org/10.18653/v1/N18-2084	7b29f45df975ed1e4c3864b6ab4483f11086aa76	7b29f45df975ed1e4c3864b6ab4483f11086aa76	2018	North American Chapter of the Association for Computational Linguistics	ArXiv	352	
5782	https://doi.org/10.1109/IALP.2018.8629151	3e62f682878a739125eae09b78f00db9acbb1078	3e62f682878a739125eae09b78f00db9acbb1078	2018	International Conference on Asian Language Processing	2018 International Conference on Asian Language Processing (IALP)	84	
5550	https://www.semanticscholar.org/paper/da9400de345f5102e054911183325431a8baef65	da9400de345f5102e054911183325431a8baef65	da9400de345f5102e054911183325431a8baef65				12	
5630	https://doi.org/10.1109/IALP.2014.6973519	b55a4a4ff3f635af764fe91640973d0c9cdcb76d	b55a4a4ff3f635af764fe91640973d0c9cdcb76d	2014	International Conference on Asian Language Processing	2014 International Conference on Asian Language Processing (IALP)	94	
5726	https://doi.org/10.1109/IALP48816.2019.9037723	28eb7c9ed1e8a59d3c8b122a6d725123d3bf2c03	28eb7c9ed1e8a59d3c8b122a6d725123d3bf2c03	2019	International Conference on Asian Language Processing	2019 International Conference on Asian Language Processing (IALP)	5	
5745	https://www.semanticscholar.org/paper/72729882f8fa3d9084eaece513f6bf9630be5901	72729882f8fa3d9084eaece513f6bf9630be5901	72729882f8fa3d9084eaece513f6bf9630be5901	2011	Annual Meeting of the Association for Computational Linguistics		1329	
5700	https://doi.org/10.18653/v1/2021.emnlp-main.821	35772d76f90bdf74b9d49ec8e476fe27679022af	35772d76f90bdf74b9d49ec8e476fe27679022af	2021	Conference on Empirical Methods in Natural Language Processing		34	
5647	https://doi.org/10.1109/IALP.2018.8629151	3e62f682878a739125eae09b78f00db9acbb1078	3e62f682878a739125eae09b78f00db9acbb1078	2018	International Conference on Asian Language Processing	2018 International Conference on Asian Language Processing (IALP)	84	
5651	https://doi.org/10.1109/ICSDA.2016.7918974	287987e82639146c89b4e6b91d6f7a7a7f32679b	287987e82639146c89b4e6b91d6f7a7a7f32679b	2016	Oriental COCOSDA International Conference on Speech Database and Assessments	2016 Conference of The Oriental Chapter of International Committee for Coordination and Standardization of Speech Databases and Assessment Techniques (O-COCOSDA)	82	
5685	https://doi.org/10.1109/IALP.2014.6973519	b55a4a4ff3f635af764fe91640973d0c9cdcb76d	b55a4a4ff3f635af764fe91640973d0c9cdcb76d	2014	International Conference on Asian Language Processing	2014 International Conference on Asian Language Processing (IALP)	94	
5844	https://doi.org/10.18653/v1/K17-3001	5c0a7a3f4a7928e8d5fe0b05d73d53865f5afb3d	5c0a7a3f4a7928e8d5fe0b05d73d53865f5afb3d	2017	Conference on Computational Natural Language Learning		331	
5845	https://www.semanticscholar.org/paper/06d77fa89c6cd8ebb94a6830fc9c7f1ace127a96	06d77fa89c6cd8ebb94a6830fc9c7f1ace127a96	06d77fa89c6cd8ebb94a6830fc9c7f1ace127a96	2019			9	
5847	https://doi.org/10.30564/fls.v6i5.6957	8da82cb614801a4d54f0fe59e4a4eab54bec81b3	8da82cb614801a4d54f0fe59e4a4eab54bec81b3	2022	Forum for Linguistic Studies	Forum for Linguistic Studies	3	
5848	https://doi.org/10.1109/IALP.2014.6973519	b55a4a4ff3f635af764fe91640973d0c9cdcb76d	b55a4a4ff3f635af764fe91640973d0c9cdcb76d	2014	International Conference on Asian Language Processing	2014 International Conference on Asian Language Processing (IALP)	94	
5858	https://doi.org/10.1007/978-3-031-23793-5_34	ddbdacbbc29a89a16ba94e865fbc131b7fcd0cac	ddbdacbbc29a89a16ba94e865fbc131b7fcd0cac	2018	Conference on Intelligent Text Processing and Computational Linguistics		14	
6410	https://www.semanticscholar.org/paper/da19f6f033257a7831f53f238e37b4e5768e9f43	da19f6f033257a7831f53f238e37b4e5768e9f43	da19f6f033257a7831f53f238e37b4e5768e9f43	2006			46	
6414	https://doi.org/10.21437/SLTU.2018-14	a0a60eb316aa07798a89e07f206b2d5fd9e51d61	a0a60eb316aa07798a89e07f206b2d5fd9e51d61	2018	Workshop on Spoken Language Technologies for Under-resourced Languages		49	
